"seqnames","start","end","width","strand","category","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","SYMBOL"
"chr1",1859164,1859649,486,"*","Shared","Promoter (<=1kb)",1,1785434,1858772,73339,2,"2782","ENST00000703703.1",-392,"GNB1"
"chr1",4603158,4603740,583,"*","Shared","Distal Intergenic",1,4571548,4583421,11874,1,"105376679","ENST00000420522.1",31610,"LINC01646"
"chr1",6991116,6991751,636,"*","Shared","Intron (ENST00000303635.12/23261, intron 3 of 22)",1,7008376,7014279,5904,2,"127138864","ENST00000456701.1",22528,"CAMTA1-AS3"
"chr1",8090253,8090656,404,"*","Shared","Intron (ENST00000445300.1/121832806, intron 2 of 2)",1,8026738,8122702,95965,1,"121832806","ENST00000445300.1",63515,"ERRFI1-DT"
"chr1",8133787,8134397,611,"*","Shared","Distal Intergenic",1,8201518,8215207,13690,1,"102724539","ENST00000670361.1",-67121,"LINC01714"
"chr1",8137496,8138216,721,"*","Shared","Distal Intergenic",1,8201518,8215207,13690,1,"102724539","ENST00000670361.1",-63302,"LINC01714"
"chr1",8408101,8408552,452,"*","Shared","Intron (ENST00000337907.7/473, intron 13 of 23)",1,8365855,8423419,57565,2,"473","ENST00000460659.5",14867,"RERE"
"chr1",8456431,8456751,321,"*","Shared","Intron (ENST00000337907.7/473, intron 12 of 23)",1,8425638,8430041,4404,1,"102724552","ENST00000444276.1",30793,"RERE-AS1"
"chr1",8712319,8713005,687,"*","Shared","Intron (ENST00000337907.7/473, intron 2 of 23)",1,8656193,8703219,47027,2,"473","ENST00000468247.1",-9100,"RERE"
"chr1",8905640,8906151,512,"*","Shared","Distal Intergenic",1,8868049,8879190,11142,2,"2023","ENST00000489867.2",-26450,"ENO1"
"chr1",8938503,8939160,658,"*","Shared","Distal Intergenic",1,8945867,8967745,21879,1,"765","ENST00000549778.5",-6707,"CA6"
"chr1",9766708,9767229,522,"*","Shared","Intron (ENST00000377298.9/22883, intron 2 of 18)",1,9729028,9751581,22554,2,"22883","ENST00000435891.5",-15127,"CLSTN1"
"chr1",10108219,10108638,420,"*","Shared","Intron (ENST00000253251.12/10277, intron 6 of 26)",1,10100861,10103185,2325,1,"10277","ENST00000462658.1",7358,"UBE4B"
"chr1",11158560,11158974,415,"*","Shared","Intron (ENST00000703140.1/2475, intron 27 of 55)",1,11131594,11145025,13432,2,"2475","ENST00000495435.1",-13535,"MTOR"
"chr1",11180072,11180636,565,"*","Shared","Intron (ENST00000703140.1/2475, intron 26 of 55)",1,11189355,11195981,6627,1,"10218","ENST00000376819.4",-8719,"ANGPTL7"
"chr1",11281900,11282389,490,"*","Shared","Intron (ENST00000376810.6/29914, intron 1 of 1)",1,11273934,11296049,22116,1,"29914","ENST00000483738.1",7966,"UBIAD1"
"chr1",12381107,12381793,687,"*","Shared","Promoter (1-2kb)",1,12382996,12509030,126035,1,"55187","ENST00000645371.1",-1203,"VPS13D"
"chr1",12433494,12434620,1127,"*","Shared","Intron (ENST00000620676.6/55187, intron 65 of 69)",1,12409838,12416827,6990,1,"55187","ENST00000481484.1",23656,"VPS13D"
"chr1",12447285,12448104,820,"*","Shared","Intron (ENST00000620676.6/55187, intron 65 of 69)",1,12464940,12512047,47108,1,"55187","ENST00000543766.2",-16836,"VPS13D"
"chr1",12448877,12449670,794,"*","Shared","Intron (ENST00000620676.6/55187, intron 65 of 69)",1,12464940,12512047,47108,1,"55187","ENST00000543766.2",-15270,"VPS13D"
"chr1",12454175,12455521,1347,"*","Shared","Intron (ENST00000620676.6/55187, intron 65 of 69)",1,12464940,12512047,47108,1,"55187","ENST00000543766.2",-9419,"VPS13D"
"chr1",12478117,12478852,736,"*","Shared","Promoter (<=1kb)",1,12478549,12506972,28424,1,"55187","ENST00000645148.1",0,"VPS13D"
"chr1",12549671,12550547,877,"*","Shared","Distal Intergenic",1,12527724,12528420,697,1,"105376744","ENST00000416696.1",21947,"LINC02766"
"chr1",12615721,12616317,597,"*","Shared","Promoter (<=1kb)",1,12579768,12616696,36929,2,"9249","ENST00000482265.1",379,"DHRS3"
"chr1",12692705,12693699,995,"*","Shared","Exon (ENST00000436879.2/ENST00000436879.2, exon 1 of 1)",1,12716110,12728760,12651,1,"126767","ENST00000359318.8",-22411,"AADACL3"
"chr1",12810677,12811221,545,"*","Shared","Distal Intergenic",1,12822686,12823159,474,2,"105376745","ENST00000438401.1",11938,"LINC01784"
"chr1",14486257,14487106,850,"*","Shared","Intron (ENST00000636203.1/23254, intron 2 of 16)",1,14390655,14419973,29319,2,"105376762","ENST00000670776.1",-66284,"KAZN-AS1"
"chr1",14742059,14742969,911,"*","Shared","Intron (ENST00000636203.1/23254, intron 3 of 16)",1,14598717,15065797,467081,1,"23254","ENST00000503743.5",143342,"KAZN"
"chr1",15796645,15797142,498,"*","Shared","Distal Intergenic",1,15807374,15807649,276,2,"440567","ENST00000696689.1",10507,"UQCRHL"
"chr1",16008278,16008553,276,"*","Shared","3' UTR",1,16004236,16008807,4572,1,"149563","ENST00000329454.2",4042,"SRARP"
